title,price,location,product_url,main_image,brand,description,seller_name
هاتف شاومي ردمي نوت ١٠ الجيل الخامس _ Xiaomi Redmi Note 10 5G,3500.0,"Abasiya, Cairo",https://www.dubizzle.com.eg/en/ad/%D9%87%D8%A7%D8%AA%D9%81-%D8%B4%D8%A7%D9%88%D9%85%D9%8A-%D8%B1%D8%AF%D9%85%D9%8A-%D9%86%D9%88%D8%AA-%D9%A1%D9%A0-%D8%A7%D9%84%D8%AC%D9%8A%D9%84-%D8%A7%D9%84%D8%AE%D8%A7%D9%85%D8%B3-_-xiaomi-redmi-note-10-5g-ID200348978.html,https://images.dubizzle.com.eg/thumbnails/86663859-240x180.jpeg,Xiaomi,_معالج قوي من شركة ميديا تك بتكنولوجيا 7 نانو بامكانيات جبارة .  _ ذاكرة تخزين (ROM) بمساحة 128 جيجا بايت ، مع امكانية التوسيع باضافة كارت مومري.  _ ذاكرة وصول عشوائي( RAM) 6 جيجا بايت.  _بطارية عملاقة تستمر لمدة ايام بسعة 5000 مللي امبير مع شاحن سريع بقدرة 18 واط .  _كامير خلفية ثلاثية عالية الوضوح بدقة 48 ميجا بيكسل و كاميرا امامية بدقة 8 ميجا بيكسل.  _شاشة كبيرة بحجم 6.5 بوصة بدقة FHD .  _يدعم الهاتف شبكات الجيل الخامس 5g و يدعم شريحتي اتصال .  _ياتي الهاتف بسماعات واضحة جدا و قوية.  _خامات التصنيع من البلاستيك اللامع بالكامل مع احدث نظام تشغيل اندرويد 11 و واجهة شاومي MIUI .  _الهاتف استخدام شخصي لمدة 6 شهور و عن تجربة شخصية الهاتف جميل جدا بطارية تعيش معاك و معالج سريع جدا اما ذاكرة التخزين مريحة و عملية و حجم و جودة الشاشة فوق الخيالي الكاميرات الخلفية دقتها حلوة لكن الامامية ضعيفة شوي و سرعة الشبكة عالية جدا باختصار الهاتف يقدم افضل اداء ضمن هذه الفئة السعرية الهاتف استخدم خفيف كالجديد بس محتاح بوردة ب٢٠٠٠ جنيه غير كدا كله سليم .,Mugtaba hider
هونر 10 Lite,2300.0,"Arbaeen, Suez",https://www.dubizzle.com.eg/en/ad/%D9%87%D9%88%D9%86%D8%B1-10-lite-ID200348975.html,https://images.dubizzle.com.eg/thumbnails/86663812-240x180.jpeg,Honor,الجهاز بحاله ممتازه كل حاجه شغاله في مغير ضهر فقط مغيرش حاجه تاني نهائي مساحه 64 ورام 3  فضي معهوش حاجه,User 8VS8A7
iphone 11 pro Max 256 GB -  battery 76%,25000.0,"Shorouk City, Cairo",https://www.dubizzle.com.eg/en/ad/iphone-11-pro-max-256-gb-battery-76-ID200348971.html,https://images.dubizzle.com.eg/thumbnails/86663751-240x180.jpeg,Apple - iPhone,iphone 11 pro Max 256 GB -  battery 76%  colour mint green  with cable and box  orginal cover  front privacy screen protector  back screen protector,Abdelrahman Radwan ibrahim
Samsung S24 Ultra 256GB Titanium Violet,78500.0,"Al Manial, Cairo",https://www.dubizzle.com.eg/en/ad/samsung-s24-ultra-256gb-titanium-violet-ID200348968.html,https://images.dubizzle.com.eg/thumbnails/86663687-240x180.jpeg,Samsung,Samsung S24 Ultra  256GB  12GB RAM Color Titanium Violet New  سامسونج جالاكسي إس ٢٤ الترا جديد,Mahmoud Nabil
realme c21y,3500.0,"Arbaeen, Suez",https://www.dubizzle.com.eg/en/ad/realme-c21y-ID200348952.html,https://images.dubizzle.com.eg/thumbnails/86663583-240x180.jpeg,Realme,الجهاز استخدام سنه ونص مساحه 64 ورام 4  معاه الكرتونه بس الشاحن مش موجود,User 8VS8A7
هواوي نوفا 7i,5000.0,"Imbaba, Giza",https://www.dubizzle.com.eg/en/ad/%D9%87%D9%88%D8%A7%D9%88%D9%8A-%D9%86%D9%88%D9%81%D8%A7-7i-ID200348948.html,https://images.dubizzle.com.eg/thumbnails/86663577-240x180.jpeg,Huawei,هواوي نوفا 7i الفون معاه الكرتونه 8 رام 128 جيجا بحاله جميله,MicHael
iPhone 13 Pro Max,50000.0,"Mokattam, Cairo",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-max-ID200348946.html,https://images.dubizzle.com.eg/thumbnails/86663569-240x180.jpeg,Apple - iPhone,"iPhone 13 Pro Max, بطاريه% 93 مفهوش خدش متركب اسكرينه همر مساحه 256 360",Mazen Diaa
iphone 12 pro max  256 giga battery 85% ايفون ١٢ برو ماكس ٢٥٦ جيجا,40000.0,"New Cairo, Cairo",https://www.dubizzle.com.eg/en/ad/iphone-12-pro-max-256-giga-battery-85-%D8%A7%D9%8A%D9%81%D9%88%D9%86-%D9%A1%D9%A2-%D8%A8%D8%B1%D9%88-%D9%85%D8%A7%D9%83%D8%B3-%D9%A2%D9%A5%D9%A6-%D8%AC%D9%8A%D8%AC%D8%A7-ID200348932.html,https://images.dubizzle.com.eg/thumbnails/86663412-240x180.jpeg,Apple - iPhone,iphone 12 pro max 256 giga  pacific blue  battery 85%  very good condition  with box  ايفون ١٢ برو ماكس مفيهوش اي عيوب متعملوش اي صيانه معاه العلبه الموبايل عليه سكرين ضهر وشاشه ومتحافظ عليه اوي  البيع للتجديد فقط,User 3ZO5sd
سامسونج جالكسي نوت ١٠ لايت,5500.0,"Downtown Cairo, Cairo",https://www.dubizzle.com.eg/en/ad/%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%D8%AC-%D8%AC%D8%A7%D9%84%D9%83%D8%B3%D9%8A-%D9%86%D9%88%D8%AA-%D9%A1%D9%A0-%D9%84%D8%A7%D9%8A%D8%AA-ID200348929.html,https://images.dubizzle.com.eg/thumbnails/86663374-240x180.jpeg,Samsung,جهاز سامسونج نوت ١٠ لايت مساحة ١٢٨ رام ٨ الجهاز بحالة ممتازة معاه جراب وشاحن بالوصلة والقلم البصمة محتاجة تحديث عشان ترجع تشتغل بس كل حاجة شغالة تمام مكالمات نت صوت قوي جدا متفتحش قبل كدة وكله علي التجربة المقابلة رمسيس او اسعاف,يوسف
ايفون. 6s plus كشر زيرو استعمال حريمي نضيف السعر قابل للتفاوض,3500.0,"Asyut City, Asyut",https://www.dubizzle.com.eg/en/ad/%D8%A7%D9%8A%D9%81%D9%88%D9%86-6s-plus-%D9%83%D8%B4%D8%B1-%D8%B2%D9%8A%D8%B1%D9%88-%D8%A7%D8%B3%D8%AA%D8%B9%D9%85%D8%A7%D9%84-%D8%AD%D8%B1%D9%8A%D9%85%D9%8A-%D9%86%D8%B6%D9%8A%D9%81-%D8%A7%D9%84%D8%B3%D8%B9%D8%B1-%D9%82%D8%A7%D8%A8%D9%84-%D9%84%D9%84%D8%AA%D9%81%D8%A7%D9%88%D8%B6-ID200348908.html,https://images.dubizzle.com.eg/thumbnails/86663174-240x180.jpeg,Apple - iPhone,ايفون6s plus كسر زيرو استعمال حريمي نظيف جدا الجهاز  مساحه 32 بطاريه 71 متغيره فاصل بصمه من التحديث الجهاز محتاج كاميرا خلفيه بس والسعر قابل للتفاوض للامانه الجهاز زيرو,Kero Son Jesus
samsung A52s 5G,10000.0,"Gesr Al Suez, Cairo",https://www.dubizzle.com.eg/en/ad/samsung-a52s-5g-ID200348902.html,https://images.dubizzle.com.eg/thumbnails/86663155-240x180.jpeg,Samsung,للبيع لظروف مالية طارئة موبايل سامسونج A52s 5G 128 Ram 8G مستعمل بالكرتونة والشاحن الأصلي وبحالة جيدة جدا جدا .,Galal
HUAWEI Y336,650.0,"Helmeyat El Zaytoun, Cairo",https://www.dubizzle.com.eg/en/ad/huawei-y336-ID197536123.html,https://images.dubizzle.com.eg/thumbnails/58969773-240x180.jpeg,Huawei,موبيل هواوي Y336 مش مغير حاجه  2 خط + كارت ميموري ف كسر ف الشاشه كما موضح ف الصوره ومكان الكسر التاتش مش شغال ماشي مع الكسر الخط الكسر يعني زي منا معلم ف الصوره الكسر دي الحته اللي التاتش فيها مش شغال بس  غير كده باقي التاتش كلو شغال,Mohamed
معروض للبيع ريلمى ، 21,4000.0,"Mashtool al-Souk, Sharqia",https://www.dubizzle.com.eg/en/ad/%D9%85%D8%B9%D8%B1%D9%88%D8%B6-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%B1%D9%8A%D9%84%D9%85%D9%89-21-ID200348893.html,https://images.dubizzle.com.eg/thumbnails/86663117-240x180.jpeg,Realme,استعمال 3شهور  ومع شاحن اصلى +جراب تابع له +كرتونة الجهاز +الضمان  مساحة 64 ميجابايت رام 4,mohamed shoman
iphone 15 pro max blue titanium,85000.0,"Mansura, Dakahlia",https://www.dubizzle.com.eg/en/ad/iphone-15-pro-max-blue-titanium-ID200348886.html,https://images.dubizzle.com.eg/thumbnails/86662854-240x180.jpeg,Apple - iPhone,iphnoe 15 pro max 256 blue titanium  بالكرتونه,عمر
شاحن ايفون 13 برو ماكس اصلي,820.0,"Haram, Giza",https://www.dubizzle.com.eg/en/ad/%D8%B4%D8%A7%D8%AD%D9%86-%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-%D8%A8%D8%B1%D9%88-%D9%85%D8%A7%D9%83%D8%B3-%D8%A7%D8%B5%D9%84%D9%8A-ID196056298.html,https://images.dubizzle.com.eg/thumbnails/51470513-240x180.jpeg,Apple - iPhone,شاحن ايفون 13 برو ماكس اصلي استخدام اسبوعين بالظبط مشتري ب 1200  سبب البيع اني بعت الموبايل نفسو فا مش محتاجو,Malaak Samir
ايفون 8 بلص,7200.0,"Haram, Giza",https://www.dubizzle.com.eg/en/ad/%D8%A7%D9%8A%D9%81%D9%88%D9%86-8-%D8%A8%D9%84%D8%B5-ID200348878.html,https://images.dubizzle.com.eg/thumbnails/86662807-240x180.jpeg,Apple - iPhone,مغير شاشة بطارية 74 مفهوش خربوش ومعاه كرتونة و10 جرابات,رائد فضاء
ايفون ١١,1700.0,"Moski, Cairo",https://www.dubizzle.com.eg/en/ad/%D8%A7%D9%8A%D9%81%D9%88%D9%86-%D9%A1%D9%A1-ID200348862.html,https://images.dubizzle.com.eg/thumbnails/86662723-240x180.jpeg,Apple - iPhone,معاه الكرتونه فقط مساحه ١٢٨ بطاريه ٧٤ مش مغير اي حاجه وشغال كل حاجه وتربروف متفتحش نهائي 01020721573,mohamed
ايفون 12 كسر كسر زيروووو,18500.0,"Mansura, Dakahlia",https://www.dubizzle.com.eg/en/ad/%D8%A7%D9%8A%D9%81%D9%88%D9%86-12-%D9%83%D8%B3%D8%B1-%D9%83%D8%B3%D8%B1-%D8%B2%D9%8A%D8%B1%D9%88%D9%88%D9%88%D9%88-ID200348852.html,https://images.dubizzle.com.eg/thumbnails/86662441-240x180.jpeg,Apple - iPhone,ايفون 12 عادي المساحة ٦٤ جيجا البطارية ٨٤٪؜ الجهاز وتر بروف مفهوش خرابيش لونة كحلي نموذج m الجهاز حالة كويسة جدا و السعر كويس علي الاسعار الانا بسمعها اليومين دول الجهاز حلتة كويسة المقابلة المنصورة فقط السعر قابل للنقاش البسيط جدا,User 4OV0qK
ريدمي 9T,4500.0,"Saft El Laban, Giza",https://www.dubizzle.com.eg/en/ad/%D8%B1%D9%8A%D8%AF%D9%85%D9%8A-9t-ID200348849.html,https://images.dubizzle.com.eg/thumbnails/86662432-240x180.jpeg,Xiaomi,معا كل حاجه الكرتونه وشحن وستعمل خفيف اسكرينه عاوزه تغير بس للمساحه 128ورام 4+2,User 6g53az
iPhone 13,30000.0,"Helmeya al-Gadeda, Cairo",https://www.dubizzle.com.eg/en/ad/iphone-13-ID200348842.html,https://images.dubizzle.com.eg/thumbnails/86662407-240x180.jpeg,Apple - iPhone,للبيع ايفون ١٣ اسود مساحة ١٢٨  يوجد بة بعض الخدوش البسيطة  بالعلبة والشاحن بطارية ٨٧ فالمئة,ali dah
15 pro max dual sim,84000.0,"New Damietta, Damietta",https://www.dubizzle.com.eg/en/ad/15-pro-max-dual-sim-ID200348831.html,https://images.dubizzle.com.eg/thumbnails/86662335-240x180.jpeg,Apple - iPhone,box with cable  battery 100%  ضمان ١١ شهر,محمد
صاحب الإعلان,17000.0,"Mansura, Dakahlia",https://www.dubizzle.com.eg/en/ad/%D8%B5%D8%A7%D8%AD%D8%A8-%D8%A7%D9%84%D8%A5%D8%B9%D9%84%D8%A7%D9%86-ID200348816.html,https://images.dubizzle.com.eg/thumbnails/86662221-240x180.jpeg,Apple - iPhone,iPhone 11pro  battery 79 m64,Ahmed Abdellatif
فك ايكلود مضمون,700.0,"10th of Ramadan, Sharqia",https://www.dubizzle.com.eg/en/ad/%D9%81%D9%83-%D8%A7%D9%8A%D9%83%D9%84%D9%88%D8%AF-%D9%85%D8%B6%D9%85%D9%88%D9%86-ID200348805.html,https://images.dubizzle.com.eg/thumbnails/86662020-240x180.jpeg,Apple - iPhone,,
ايفون ١٣  حاله ممتازه,35500.0,"Maadi, Cairo",https://www.dubizzle.com.eg/en/ad/%D8%A7%D9%8A%D9%81%D9%88%D9%86-%D9%A1%D9%A3-%D8%AD%D8%A7%D9%84%D9%87-%D9%85%D9%85%D8%AA%D8%A7%D8%B2%D9%87-ID200348800.html,https://images.dubizzle.com.eg/thumbnails/86661984-240x180.jpeg,Apple - iPhone,ايفون ١٣ حاله ممتازه بطاريه ١٠٠,User 9ab0KQ
سامسونج s23 الترا جديد وارد دبي ٢٥٦ جيجا ١٢ جيجا رام إصدار شرق أوسط,55000.0,"Tanta, Gharbia",https://www.dubizzle.com.eg/en/ad/%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%D8%AC-s23-%D8%A7%D9%84%D8%AA%D8%B1%D8%A7-%D8%AC%D8%AF%D9%8A%D8%AF-%D9%88%D8%A7%D8%B1%D8%AF-%D8%AF%D8%A8%D9%8A-%D9%A2%D9%A5%D9%A6-%D8%AC%D9%8A%D8%AC%D8%A7-%D9%A1%D9%A2-%D8%AC%D9%8A%D8%AC%D8%A7-%D8%B1%D8%A7%D9%85-%D8%A5%D8%B5%D8%AF%D8%A7%D8%B1-%D8%B4%D8%B1%D9%82-%D8%A3%D9%88%D8%B3%D8%B7-ID200348798.html,https://images.dubizzle.com.eg/thumbnails/86661980-240x180.jpeg,Samsung,سامسونج s23 الترا جديد وارد دبي ٢٥٦ جيجا ١٢ جيجا رام إصدار شرق أوسط مفتوح كرتونة فقط عشان الجمارك,احمد سعد
شركه حالا للتقسيط بدوون مقدم,600.0,"Amreya, Alexandria",https://www.dubizzle.com.eg/en/ad/%D8%B4%D8%B1%D9%83%D9%87-%D8%AD%D8%A7%D9%84%D8%A7-%D9%84%D9%84%D8%AA%D9%82%D8%B3%D9%8A%D8%B7-%D8%A8%D8%AF%D9%88%D9%88%D9%86-%D9%85%D9%82%D8%AF%D9%85-ID200348796.html,https://images.dubizzle.com.eg/thumbnails/86661974-240x180.jpeg,Realme,لاهالى اسكندرييييييه فقططططط  يا جماااعه التقسيط بدوووون اى مقدم  كمان من غير اى وصلات اماانه   ‏دة غير ان انته اللى بتحدد معايا قسطك   ‏مش بفرض عليك الاستلام فى خلال 48 ساعه  اى حد عاوز يقسط اى تلفون يكلمنى  هقسطله ومدة لحد 3 سنين تقسيط مريح جدااا  وكمان منزله خصم   ‏على تلفون ريلمى C55 جامد جدا  هتقسط ب 400 ج فى الشهر بس  الرامات : 8 جيجا  الذاكرة : 256 جيجا وموجود تلفون ريلمى 10 pro و 11 pro جامد جداا هتقسط ب 600 ج فى الشهر بس الرامات : 8 جيجا الذاكرة : 256 جيجا يلا مستنياكوا علشان تستفيدوا بالعرض معايا للتواصل واتساب او فون  ‏‪01066517900‬‏ شركه حالا للتقسيط,Loly De Ana
آيفون استعمال خفيف اوى مساحه 32ج بطاريه اصليه69٪ مفهوش خربوش,4100.0,"Amreya, Alexandria",https://www.dubizzle.com.eg/en/ad/%D8%A2%D9%8A%D9%81%D9%88%D9%86-%D8%A7%D8%B3%D8%AA%D8%B9%D9%85%D8%A7%D9%84-%D8%AE%D9%81%D9%8A%D9%81-%D8%A7%D9%88%D9%89-%D9%85%D8%B3%D8%A7%D8%AD%D9%87-32%D8%AC-%D8%A8%D8%B7%D8%A7%D8%B1%D9%8A%D9%87-%D8%A7%D8%B5%D9%84%D9%8A%D9%8769-%D9%85%D9%81%D9%87%D9%88%D8%B4-%D8%AE%D8%B1%D8%A8%D9%88%D8%B4-ID199441622.html,https://images.dubizzle.com.eg/thumbnails/75031824-240x180.jpeg,Apple - iPhone,استعمال خفيف اوى مساحه 32ج بطاريه اصليه69٪ مفهوش خربوش,User 4sq4l4
IPhone 15 Pro Max للبيع,80000.0,"Maadi, Cairo",https://www.dubizzle.com.eg/en/ad/iphone-15-pro-max-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-ID200348781.html,https://images.dubizzle.com.eg/thumbnails/86661878-240x180.jpeg,Apple - iPhone,ايفون ١٥ برو ماكس تيتانيوم ازرق ٢٥٦ جيجا جديد لم يستخدم,User 2KE9cT
Honor 8x,1500.0,"Ain Shams, Cairo",https://www.dubizzle.com.eg/en/ad/honor-8x-ID200348775.html,https://images.dubizzle.com.eg/thumbnails/86661750-240x180.jpeg,Honor,عيوب التليفون شاشة فريم سماعة فقط,User 8qh2q7
Mi 10t,7800.0,"Suez District, Suez",https://www.dubizzle.com.eg/en/ad/mi-10t-ID200348755.html,https://images.dubizzle.com.eg/thumbnails/86661553-240x180.jpeg,Xiaomi,الهاتف مزود بمعالج Snapdragon 865 تكنولوجيا 7 نانو .  التخزين/ الرام. ١٢٨ جيجابايت مع ٨ جيجا رام .  الكاميرا الخلفيه 64+13+5 م. ب / امامية 20 م. ب .  الشاشة : 6.67 بوصة بدقة FHD - بها ثقب صغير .  البطارية : 5000 مللي امبير .  و طبعاً الهاتف غني عن التعريف الشاشه 144 هرتز سريعه في التنقل بتشغل ببجي 90 فريم  تم تغير ضهر الهاتف فقط  للتواصل : 01144932605,Body
iphone 12 mini - ايفون ١٢ ميني,20000.0,"6th of October, Giza",https://www.dubizzle.com.eg/en/ad/iphone-12-mini-%D8%A7%D9%8A%D9%81%D9%88%D9%86-%D9%A1%D9%A2-%D9%85%D9%8A%D9%86%D9%8A-ID200348739.html,https://images.dubizzle.com.eg/thumbnails/86661362-240x180.jpeg,Apple - iPhone,ايفون ١٢ ميني ١٢٨ جيجا مفيهوش خدش ال عليه سكرينه لاكن الشاشه و الضهر مفيهمش خدش معاه كل حاجته كرتونه و شاحن اصلي و جراب بطاريه ٨٤,User 7j05Hc
I phone 14 128gb,40000.0,"Nasr City, Cairo",https://www.dubizzle.com.eg/en/ad/i-phone-14-128gb-ID198178745.html,https://images.dubizzle.com.eg/thumbnails/68079701-240x180.jpeg,Apple - iPhone,للبيع ايفون 14 126 بطارية 100 بالكارتونة شحن 4 مرات  وارد البحرين,Eslam Qasem
iphone 12pro,25500.0,"New Nozha, Cairo",https://www.dubizzle.com.eg/en/ad/iphone-12pro-ID200348737.html,https://images.dubizzle.com.eg/thumbnails/86661272-240x180.jpeg,Apple - iPhone,iphone 12pro. حاله ممتازه اللون ذهبي كفاءة البطاريه 82%,زياد
ايفون ٧بلص,8200.0,"Bilbeis, Sharqia",https://www.dubizzle.com.eg/en/ad/%D8%A7%D9%8A%D9%81%D9%88%D9%86-%D9%A7%D8%A8%D9%84%D8%B5-ID200348731.html,https://images.dubizzle.com.eg/thumbnails/86663239-240x180.jpeg,Apple - iPhone,موبايل بحاله جيده جدا بطاريه ٩١  مفهوش خربوش معروض للبيع لظرف,User 6dJ9rvAhmed maher
iphone 12 mini - ايفون ١٢ ميني,20000.0,"6th of October, Giza",https://www.dubizzle.com.eg/en/ad/iphone-12-mini-%D8%A7%D9%8A%D9%81%D9%88%D9%86-%D9%A1%D9%A2-%D9%85%D9%8A%D9%86%D9%8A-ID200348739.html,https://images.dubizzle.com.eg/thumbnails/86661362-240x180.jpeg,Apple - iPhone,ايفون ١٢ ميني ١٢٨ جيجا مفيهوش خدش ال عليه سكرينه لاكن الشاشه و الضهر مفيهمش خدش معاه كل حاجته كرتونه و شاحن اصلي و جراب بطاريه ٨٤,User 7j05Hc
I phone 14 128gb,40000.0,"Nasr City, Cairo",https://www.dubizzle.com.eg/en/ad/i-phone-14-128gb-ID198178745.html,https://images.dubizzle.com.eg/thumbnails/68079701-240x180.jpeg,Apple - iPhone,للبيع ايفون 14 126 بطارية 100 بالكارتونة شحن 4 مرات  وارد البحرين,Eslam Qasem
iphone 12pro,25500.0,"New Nozha, Cairo",https://www.dubizzle.com.eg/en/ad/iphone-12pro-ID200348737.html,https://images.dubizzle.com.eg/thumbnails/86661272-240x180.jpeg,Apple - iPhone,iphone 12pro. حاله ممتازه اللون ذهبي كفاءة البطاريه 82%,زياد
ايفون ٧بلص,8200.0,"Bilbeis, Sharqia",https://www.dubizzle.com.eg/en/ad/%D8%A7%D9%8A%D9%81%D9%88%D9%86-%D9%A7%D8%A8%D9%84%D8%B5-ID200348731.html,https://images.dubizzle.com.eg/thumbnails/86663239-240x180.jpeg,Apple - iPhone,موبايل بحاله جيده جدا بطاريه ٩١  مفهوش خربوش معروض للبيع لظرف,User 6dJ9rvAhmed maher
redmi 10,6000.0,"Damietta City, Damietta",https://www.dubizzle.com.eg/en/ad/redmi-10-ID200348721.html,https://images.dubizzle.com.eg/thumbnails/86661181-240x180.jpeg,Xiaomi,حاله زيرو معاه العلبه و الشحن ١٢٨ رام ٤,yyy
iPhone 6s Plus,3700.0,"Ibshway, Fayoum",https://www.dubizzle.com.eg/en/ad/iphone-6s-plus-ID200348718.html,https://images.dubizzle.com.eg/thumbnails/86661155-240x180.jpeg,Apple - iPhone,مساحة 32  مغير بطارية فقط ماشاءلله بتعوق جدا  معاه الكرتونة ووصلة وجراب شفاف   الجهاز ماشاء الله زيرو زي ما موضح ف الصورة  السعر نهائي ومتاح البدل,Amr114
